full_id,osm_id,osm_type,water,waterway,emergency,building:levels,aircraft:type,wikimedia_commons,wheelchair,ship:type,reservation,ref,opening_hours,historic,wetland,addr:street,addr:housenumber,addr:country,addr:city,building,artwork_type,source:name,leaf_cycle,layer,leaf_type,reservoir_type,landuse,wastewater,survey:date,fishing,oktmo:user,barrier,alt_name:ru,place,tidal,dock,covered,description,seasonal,local_name,access,name:es,old_name,name:it,int_name,loc_name,contact:website,operator,start_date,name:be,amenity,official_name,salt,intermittent,tourism,name:de,sport,alt_name,boat,wikipedia,wikidata,name:ru,name:en,type,natural,name:uk,name
r14530,"14530",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Фестивальні ставки,Фестивальные пруды
r17925,"17925",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Круглый пруд (Москва),Q20250320,Круглый пруд,Krugly pond,multipolygon,water,Круглий ставок,Круглый пруд
r30715,"30715",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Великий Катерининський ставок,Большой Екатерининский пруд
r64477,"64477",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,multipolygon,water,,
r69908,"69908",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r70713,"70713",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средний Царицынский пруд,,,,Нижний Царицынский пруд,Lower Tsaritsinskiy pond,multipolygon,water,Нижній Царицинський ставок,Нижний Царицынский пруд
r71894,"71894",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowing,,,ru:Крылатское (гребной канал),Q6915468,Гребной канал,Krylatskoye Rowing Canal,multipolygon,water,Веслувальний канал,Гребной канал
r173793,"173793",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Большой Кусковский пруд,Bolshoy Kuskovsky pond,multipolygon,water,Великий Кусковський ставок,Большой Кусковский пруд
r173794,"173794",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Райдужні ставки,Радужные пруды
r173795,"173795",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Південно-Східний Терлецький ставок,Юго-Восточный Терлецкий пруд
r175351,"175351",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r222973,"222973",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,multipolygon,water,,
r241575,"241575",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Golizyn-Teich,,,designated,,,Голицинские пруды,Golitsyn Ponds,multipolygon,water,Голицькі ставки,Голицинские пруды
r269778,"269778",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Верхний Кузьминский пруд,Q4108692,,,multipolygon,water,Верхній Кузьмінський ставок,Верхний Кузьминский пруд
r277224,"277224",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r279043,"279043",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,multipolygon,water,,
r307058,"307058",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Капустинский пруд,,,,,,multipolygon,water,Капустинський ставок,Капустинский пруд
r392674,"392674",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Озеро Бездонне,озеро Бездонное
r395660,"395660",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Східний Терлецький ставок,Восточный Терлецкий пруд
r414913,"414913",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r416772,"416772",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r422261,"422261",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,Бедринское озеро,,,,,,multipolygon,water,Чорне озеро,Чёрное озеро
r454389,"454389",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Великий Знам'янський ставок,Большой Знаменский пруд
r554953,"554953",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Голубинський ставок,Голубинский пруд
r935383,"935383",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Верхній Чернівський ставок,Верхний Черневский пруд
r961360,"961360",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r974484,"974484",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,multipolygon,water,,
r1198229,"1198229",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Північний Терлецький ставок,Северный Терлецкий пруд
r1236126,"1236126",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Нижній Кузьмінський ставок,Нижний Кузьминский пруд
r1257937,"1257937",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,ru:Борисовские пруды,Q4093975,Борисовский пруд,Borisovskiy pond,multipolygon,water,Борисівський став,Борисовский пруд
r1257947,"1257947",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Бабаевский пруд,Q19906369,Бабаевский пруд,Babayevsky pond,multipolygon,water,Бабаєвський ставок,Бабаевский пруд
r1285019,"1285019",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Самотёка,,,,,,,,,,,,multipolygon,water,Каскадні ставки річки Самотек (Алтуф'євська річка),Каскадные пруды реки Самотёки (Алтуфьевская речка)
r1307816,"1307816",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1308832,"1308832",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1315475,"1315475",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1324744,"1324744",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Великий Воронцовський ставок,Большой Воронцовский пруд
r1362324,"1362324",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Купалы,fountain,,,,,,,,,,,,,multipolygon,water,Куполи,Купола
r1362329,"1362329",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fountain,,,,attraction,Weltzeituhr,,,,,,,,multipolygon,water,Годинник світу,Часы мира
r1375848,"1375848",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
